agent_id	event_time	trace_id/span_id	repair_kind	previous_activity	path_signature
0d41df3c-f392-4874-9e6d-25204434557c	2026-07-06T23:52:54.009Z	7da70286e547ce743c63114162af90e6/942f1ddd8c61ebf8	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
12146e63-d4f5-4506-b7f3-a6cd2c067af4	2026-07-06T23:51:34.537Z	54ba3f9c8180588978a23248afb711e0/f9cefd5c4d928337	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
355966d0-6ac4-4e4f-b65b-e204053fa4be	2026-07-06T23:52:45.666Z	fb4a3a4016280c74ee6998e8107068da/c693a8e4ad340394	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
42146354-405a-4c8f-922a-7f8a865864e4	2026-07-06T23:52:17.091Z	a44476a872f9d0f919ac8604ce04a052/0b6b29c4ec5c4612	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:47:45.662Z	cd7f888ec3f18a920383ddc99db7fb53/82c0bea71428d8dd	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:47:54.85Z	281c12f27fc38553e45f18becb5076f6/7185c35788876c55	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:49:15.664Z	5cd4bedd8aabc64f7b9d457c850e193a/ba13ceed58c0455a	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:49:24.857Z	859ac92c5aa62aec3e8580680ae00d00/e19be27e8763d27e	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:50:45.665Z	d30b3d9004fd45805fe05c1ec9de40c0/23cc78af580b3860	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:50:54.857Z	d2b52791eb3e1ba40077b62f99021395/bf1965743a6f0159	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:52:24.86Z	0301baac0e9c07337e9ac70c5d080b7b/65fdd22b6200039c	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
564f549e-a7ab-439b-8017-fe3825bef363	2026-07-06T23:52:45.666Z	560f9c8a15e679084abf43424e17102d/cbef4bae1d8d355d	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
741aecfc-b937-481e-990f-c65bd5aa0743	2026-07-06T23:52:32.878Z	b01c57ef8e7b006182e23d85ec938b0d/8d5159095a07e4a6	probe_timeout_busy_preserved	working	preserve_rebroadcast|synthetic_diagnostic|preserve|synthetic_no_authority|prior=working|projection=working|legacy=working|agree=true
